,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
s_segment_42_3912,0.0067,0.109,0.0002,0.442,0.0002,0.0181,0.0001,0.2982,0.0299,0.0897,0.0059
s_segment_42_3928,0.0167,0,0,0.1454,0,0.0002,0.1265,0.564,0.1469,0.0002,0.0001
s_segment_42_3936,0.0002,0.0002,0.0052,0.553,0.0004,0.3523,0.0001,0.0118,0.0759,0.0008,0.0001
s_segment_42_3959,0.0072,0.0026,0.0201,0.2557,0.005,0.1291,0.4906,0.0199,0.0025,0.065,0.0023
s_segment_42_3978,0.0001,0.022,0.0319,0.408,0.0012,0.4634,0.0647,0.0008,0.0057,0.0017,0.0005
s_segment_42_4011,0.0053,0.013,0.006,0.6308,0.0011,0,0.0415,0.0948,0.0036,0.1957,0.0082
s_segment_42_4029,0,0.0009,0.0004,0.0011,0.0002,0.0179,0.5793,0.3731,0.0248,0.0021,0.0002
s_segment_42_4046,0.0031,0.0046,0.0012,0.1588,0.0004,0.3053,0.134,0.3795,0.0081,0.0027,0.0023
s_segment_42_4056,0.008,0.0023,0.0015,0.8337,0.001,0.0004,0.0022,0.0123,0.001,0.1017,0.0359
s_segment_42_4089,0.0001,0,0.0075,0.5803,0.0008,0.0857,0.3001,0.0028,0.0224,0.0003,0
s_segment_42_4137,0.0005,0.0002,0.0005,0.8341,0.0686,0,0.0551,0.0002,0.0001,0.0407,0
s_segment_42_4143,0.0002,0.0898,0.0028,0.7516,0.001,0.0469,0.0016,0.0716,0.0338,0.0004,0.0003
s_segment_42_4150,0.0054,0.0253,0.0001,0.6681,0.0039,0.0097,0.0024,0.2659,0.0151,0.0038,0.0003
s_segment_42_4172,0.0136,0.0725,0.0004,0.5609,0,0.0378,0.3146,0,0.0001,0,0.0001
s_segment_42_4249,0.1825,0,0.0001,0.6749,0,0.0319,0.0018,0.1078,0,0.001,0
s_segment_42_4251,0.0103,0.0081,0,0.6933,0.0001,0.1172,0,0.039,0.0053,0.0002,0.1265
s_segment_42_4269,0.0006,0,0,0.2595,0,0.1372,0.2344,0.0001,0.3682,0,0
s_segment_42_4272,0.0023,0.0007,0.0658,0.0241,0.0024,0.3826,0.0012,0.5007,0.0056,0.0038,0.0108
s_segment_42_4328,0.0342,0.0451,0.0603,0.6596,0.0003,0.0004,0.0083,0.1897,0.0003,0.0015,0.0003
s_segment_42_4330,0.0068,0.0004,0,0.7351,0.1103,0.1312,0.0107,0.0001,0.0049,0.0005,0
s_segment_42_4336,0,0.0182,0.2776,0.5482,0.0018,0.0003,0.0001,0.1431,0.0001,0.003,0.0076
s_segment_42_4371,0.0001,0.1039,0.0013,0.5031,0.007,0.1859,0.1241,0.0704,0.0031,0.0009,0.0002
s_segment_42_4374,0.0123,0.0104,0.0016,0.5191,0.1398,0.004,0.0306,0.2402,0.0014,0.0034,0.0372
s_segment_42_438,0.0124,0.0002,0.0001,0.8678,0.0038,0.0662,0,0.0431,0,0.0013,0.0051
s_segment_42_4391,0,0.0014,0.0453,0.6855,0.0001,0.0004,0,0.1441,0.1232,0,0
s_segment_42_4425,0.0247,0,0.0028,0.8508,0.0031,0.0006,0.0758,0.0225,0.0155,0.0041,0.0001
s_segment_42_4434,0.0723,0.0043,0,0.7771,0.0011,0.0496,0.0955,0,0,0.0001,0
s_segment_42_4443,0.0115,0.0315,0.0045,0.2737,0.0026,0.4683,0.1308,0.0469,0.029,0.0006,0.0006
s_segment_42_4490,0.0011,0.0226,0.215,0.4619,0.0003,0.0026,0.2578,0.0143,0.0001,0.0242,0.0001
s_segment_42_4535,0.0052,0.0014,0,0.4329,0.0001,0.0032,0.1117,0.0001,0.4447,0.0004,0.0003
s_segment_42_4536,0.002,0.0336,0.1176,0.6169,0.0037,0.0003,0.0008,0.2242,0.0002,0.0001,0.0006
s_segment_42_4539,0.0183,0.0026,0,0.9025,0,0.0758,0.0005,0.0002,0,0.0001,0
s_segment_42_4540,0.0004,0.0022,0.0001,0.6088,0.0021,0.0001,0.2205,0.1648,0.001,0,0
s_segment_42_455,0.0001,0.0001,0.0075,0.3814,0.0009,0.3773,0.0002,0,0.2325,0,0
s_segment_42_4580,0.029,0.0717,0.0081,0.256,0.0543,0.0291,0.0192,0.3472,0.0203,0.1141,0.051
s_segment_42_4622,0.0001,0.2486,0.0283,0.5558,0.0199,0.1036,0.0001,0,0.0382,0.0052,0.0002
s_segment_42_4641,0.0504,0.0073,0.0021,0.6223,0.0308,0.2294,0.0087,0.0088,0.0352,0.0002,0.0048
s_segment_42_4666,0.0001,0.2462,0.0001,0.1417,0,0.0078,0.1915,0.2414,0.1591,0.012,0.0001
s_segment_42_4667,0.1026,0,0,0.4286,0.0723,0,0.3021,0.0832,0.0001,0.0028,0.0083
s_segment_42_4681,0.0554,0.1239,0.0003,0.4331,0.0015,0,0.3812,0.0025,0.0005,0.0016,0
s_segment_42_4715,0.0039,0.009,0.0159,0.2964,0.0683,0.156,0.1602,0.2408,0.0378,0.0091,0.0026
s_segment_42_4746,0.0002,0.0001,0.0012,0.2869,0.0014,0.2659,0.2634,0.1758,0.0051,0,0
s_segment_42_4755,0.0005,0.0076,0.0355,0.5209,0.1834,0.0072,0.0033,0.2244,0.0014,0.0095,0.0063
s_segment_42_4762,0.0001,0.0002,0.1939,0.5412,0.0007,0.1959,0.0176,0.006,0.0031,0.0413,0
s_segment_42_4783,0.0198,0.0053,0.0066,0.3233,0.0679,0.4134,0.0003,0.0236,0.0008,0.1384,0.0006
s_segment_42_4786,0.0008,0,0.0054,0.5442,0.0025,0.0001,0.2383,0.1107,0.044,0.0014,0.0526
s_segment_42_4839,0.0015,0.0065,0.0071,0.1548,0.0038,0.0176,0.0784,0.6608,0.0658,0.0031,0.0006
s_segment_42_4881,0.0005,0.0633,0.0124,0.0695,0.0008,0.0623,0.1721,0.4885,0.0184,0.0558,0.0564
s_segment_42_4960,0.0001,0.0003,0.0006,0.2182,0.0009,0.6036,0.0001,0.0458,0.0934,0.0003,0.0367
s_segment_42_4966,0,0.0001,0.0007,0.6145,0,0.3639,0.0001,0.0183,0.0001,0.0012,0.0011
s_segment_42_4976,0.0505,0.0142,0.0035,0.6411,0.0132,0.027,0.0002,0.1976,0.0023,0.0009,0.0495
s_segment_42_4997,0.0003,0.0414,0.0004,0.7282,0.0001,0.1475,0.0004,0.0801,0.0012,0.0003,0.0001
s_segment_42_513,0,0.0017,0.0885,0.5785,0.0012,0.0041,0.0001,0.306,0,0,0.0199
s_segment_42_520,0.0005,0.0038,0.0002,0.405,0.0003,0.0158,0.0004,0.3046,0.1725,0.0969,0
s_segment_42_549,0.0117,0.0004,0.1058,0.1892,0.0132,0.0018,0.2026,0.4501,0.0073,0.0088,0.0091
s_segment_42_599,0,0.0022,0.0001,0.7258,0.0191,0,0.0033,0.2495,0,0,0
s_segment_42_62,0,0,0.124,0.8751,0,0,0,0,0.0008,0,0.0001
s_segment_42_64,0.0172,0.0626,0.0335,0.3298,0.0118,0.0631,0.0231,0.2421,0.1841,0.0183,0.0144
s_segment_42_692,0.0002,0.002,0,0.7136,0,0.0017,0.0007,0,0.2815,0.0001,0.0002
s_segment_42_751,0,0.0005,0.0002,0.9841,0.008,0,0.0001,0,0,0.0071,0
s_segment_42_798,0.0003,0.1308,0,0.397,0.0003,0.0032,0.0001,0.3986,0.0656,0.0039,0.0002
s_segment_42_855,0,0.0897,0.0126,0.8047,0.0046,0.0365,0.0142,0.0304,0.0003,0.0067,0.0003
s_segment_42_868,0.0111,0.0016,0.0132,0.489,0.0001,0.0001,0.0613,0.4016,0.0073,0.0044,0.0103
s_segment_42_884,0.0002,0.0001,0.076,0.5102,0.0121,0.0301,0.0003,0.1279,0.0004,0.1693,0.0734
s_segment_42_906,0.0043,0.0005,0.0026,0.5705,0.0002,0.0841,0.0001,0,0.0855,0.2475,0.0047
s_segment_42_987,0.0001,0.0116,0.0027,0.5057,0.0049,0.0001,0.3728,0.0501,0.0025,0.0032,0.0463
s_segment_43_1040,0.0056,0.0745,0.0196,0.7262,0.0106,0.0292,0.0048,0.1066,0.0001,0.0227,0.0001
s_segment_43_1065,0.0158,0.0001,0.0004,0.8562,0.0199,0,0.0202,0.0003,0.0003,0.0868,0
s_segment_43_1095,0,0.0002,0.0001,0.3023,0.0054,0.0218,0.3365,0.3092,0.0014,0.0065,0.0166
s_segment_43_1098,0.0253,0.0256,0.0107,0.3302,0.0077,0.0883,0.3684,0.0194,0.0988,0.024,0.0016
s_segment_43_1116,0.1637,0.0569,0.0118,0.5605,0.017,0.0082,0.1022,0.0686,0.0067,0.0023,0.0021
s_segment_43_1179,0.0024,0.0499,0.0001,0.6843,0,0.0045,0.0002,0.1297,0.006,0.1219,0.001
s_segment_43_1187,0.0127,0.003,0.0035,0.5955,0.027,0.2935,0.028,0.0001,0.0367,0,0
s_segment_43_1217,0.0001,0,0.1344,0.8265,0.0003,0.0001,0.0373,0,0.0004,0.0006,0.0003
s_segment_43_1224,0.0097,0.0245,0.075,0.2938,0.0128,0.0048,0.0355,0.5194,0.0021,0.0215,0.0009
s_segment_43_1232,0.0102,0.0755,0.0047,0,0.003,0.0731,0.3345,0.4982,0.0001,0.0007,0
s_segment_43_1252,0.001,0,0.005,0.7208,0,0.2697,0.0021,0,0,0.0002,0.0012
s_segment_43_126,0.0101,0.0002,0.0785,0.4939,0.005,0.1268,0.2563,0.0008,0.0263,0.0005,0.0016
s_segment_43_1271,0.0002,0.0002,0.0025,0.7785,0.0047,0.0031,0,0.005,0.0487,0.0476,0.1095
s_segment_43_1316,0.0031,0.0946,0.0797,0.7687,0.0001,0.0002,0.0039,0.0471,0.0008,0.0018,0
s_segment_43_1332,0.069,0.0096,0.0707,0.5491,0.0002,0.0001,0.0076,0.239,0.054,0.0006,0.0001
s_segment_43_1351,0.0224,0.0007,0.0005,0.6407,0.0058,0.0016,0.1667,0.146,0.0153,0.0001,0.0002
s_segment_43_1383,0,0.0001,0,0.1954,0,0.4707,0.097,0.011,0,0.2258,0
s_segment_43_1390,0.0294,0.2049,0.0003,0.0895,0.0068,0.0113,0.1921,0.464,0.0007,0.001,0
s_segment_43_1393,0.0007,0.0002,0.0004,0.114,0.0002,0.0003,0.1249,0.4728,0.2847,0.0016,0.0002
s_segment_43_1402,0,0.1766,0.0031,0.576,0.0483,0.0002,0.0159,0.0249,0.0462,0.1048,0.004
s_segment_43_1405,0.0001,0.1453,0.0063,0.5478,0.0252,0.0362,0.0299,0.1488,0.0266,0.0307,0.0031
s_segment_43_1409,0,0,0.0001,0.4829,0,0,0.0114,0.5056,0,0,0
s_segment_43_1441,0.0012,0.0001,0.0001,0.3777,0.0002,0.0003,0.3247,0.0006,0.001,0.2941,0
s_segment_43_1483,0.0005,0.0125,0.1288,0.4801,0.0053,0.0005,0.3184,0.0522,0.0002,0.0012,0.0003
s_segment_43_1501,0.0904,0,0.0035,0.8252,0.0001,0,0.0137,0.0136,0.041,0,0.0125
s_segment_43_1520,0,0.0037,0.0105,0.9554,0.0007,0.0109,0.0001,0.0005,0.0105,0,0.0077
s_segment_43_1522,0.0025,0,0.0045,0.3941,0.0011,0.2297,0.0751,0.0099,0.2792,0.0038,0.0001
s_segment_43_1555,0.0339,0.0336,0.0018,0.4368,0.0687,0.0045,0.2318,0.0138,0.0309,0.0272,0.117
s_segment_43_1595,0.0005,0.0024,0.0001,0.3283,0.0001,0.4659,0,0.1438,0.0569,0.0019,0.0001
s_segment_43_1617,0,0.0003,0,0.7842,0.0034,0.0036,0.012,0.1964,0,0,0.0001
s_segment_43_1622,0,0.0044,0.0001,0.4726,0.001,0,0.4644,0.0086,0.0065,0.0001,0.0423
s_segment_43_1636,0.0004,0.01,0.0007,0.6639,0.0043,0.0638,0.2356,0.0087,0.0088,0.0002,0.0036
s_segment_43_1646,0.006,0.0001,0.0147,0.5584,0.0004,0.1033,0.0034,0.1078,0.1185,0.0847,0.0027
s_segment_43_1677,0.0002,0.0022,0.0002,0.5344,0.0018,0.4417,0.0114,0.0001,0.0001,0,0.0079
s_segment_43_1729,0,0.0495,0.0103,0.84,0.0001,0,0.0879,0,0,0,0.0122
s_segment_43_1773,0.0071,0,0,0.5726,0.1216,0.0002,0.2547,0.0281,0.0001,0,0.0156
s_segment_43_1785,0.0148,0.0166,0.0001,0.783,0.0001,0.0133,0.0007,0.0001,0.0037,0.112,0.0556
s_segment_43_1848,0,0,0.1256,0.4737,0.0013,0.0002,0.0001,0.388,0.0052,0.0038,0.0021
s_segment_43_1855,0.0106,0.0004,0.0107,0.7708,0.0113,0.0023,0.0005,0.1351,0.0246,0.0016,0.0321
s_segment_43_1881,0.0003,0.0499,0.0008,0.663,0.005,0.002,0.2027,0.0182,0.0043,0.0484,0.0054
s_segment_43_1887,0.0454,0.0027,0.0043,0.2896,0.043,0.0078,0.112,0.3503,0.016,0.0063,0.1226
s_segment_43_1917,0,0.0006,0.0219,0.7356,0.0405,0.0272,0.0151,0.0822,0.0069,0.0001,0.0699
s_segment_43_1935,0.0085,0.0542,0.0004,0.5117,0.0002,0.0555,0.0067,0.1374,0.0078,0.2146,0.003
s_segment_43_194,0.078,0.0424,0.0192,0.4305,0.0998,0.0433,0.1278,0.1522,0.0009,0.0058,0.0001
s_segment_43_1947,0.0222,0.1977,0.0001,0.2553,0.0146,0.0002,0.2635,0.191,0.0285,0.0269,0
s_segment_43_1953,0.0001,0,0,0.876,0,0.0018,0,0.1048,0,0.0109,0.0064
s_segment_43_1965,0.005,0.001,0.0026,0.3269,0.0029,0.1112,0.0432,0.0015,0.2844,0.2212,0.0001
s_segment_43_1990,0.0001,0.0015,0,0.8712,0.0094,0.0002,0.0991,0.0068,0.0002,0.0111,0.0004
s_segment_43_2015,0.0017,0.0213,0,0.6376,0,0,0.0001,0.1927,0.0476,0.002,0.097
s_segment_43_2031,0.0037,0.1636,0,0.6784,0.0001,0.0003,0.0284,0.0307,0.0399,0.0003,0.0546
s_segment_43_2039,0,0.0024,0,0.4174,0,0.0017,0.0001,0.52,0.044,0.0071,0.0073
s_segment_43_2058,0.0003,0.0002,0.0363,0.5219,0.0022,0.1657,0.2681,0.0003,0.0006,0.0008,0.0036
s_segment_43_2100,0.0494,0,0,0,0.0001,0.1471,0.3706,0.4323,0.0001,0.0003,0.0001
s_segment_43_2113,0.2006,0.0027,0.0254,0.601,0.0019,0.0003,0.1336,0.0308,0.0002,0.0035,0
s_segment_43_2123,0.0014,0,0.1188,0.0041,0,0,0.5411,0.3136,0.0204,0.0001,0.0005
s_segment_43_2226,0.0008,0.001,0.0001,0.3511,0.0011,0.642,0,0.0003,0.0032,0.0003,0.0001
s_segment_43_2232,0.0023,0.0002,0.0073,0.391,0.0004,0,0.5454,0.0018,0.0391,0.0124,0.0001
s_segment_43_228,0.0403,0.0007,0.0006,0.6175,0.0157,0.2089,0.0008,0.0081,0.1059,0.0004,0.0011
s_segment_43_2280,0.0147,0.2336,0.0053,0.1783,0.0601,0.2318,0.0332,0.2343,0.0023,0.0025,0.0039
s_segment_43_2354,0.0135,0.0097,0,0.5733,0.0638,0.0001,0.0002,0.3354,0.0002,0.0038,0
s_segment_43_2361,0.0418,0.017,0.0075,0.6772,0.0164,0.2211,0,0.0065,0.0001,0.0124,0
s_segment_43_2413,0.0384,0.0288,0.1092,0.3591,0.0002,0.0003,0.2942,0.1088,0.0099,0.0511,0
s_segment_43_242,0,0.0366,0.0001,0.8582,0,0.0001,0.0881,0.0003,0.0014,0.0002,0.015
s_segment_43_2421,0.0121,0.0069,0.0331,0.0005,0,0.172,0.1594,0.5283,0.0045,0.083,0.0002
s_segment_43_2437,0,0.0002,0.0006,0.3542,0.0001,0.0126,0.4446,0.1874,0.0002,0,0.0001
s_segment_43_2441,0.0084,0.0175,0.0002,0.7331,0.1624,0.0189,0.0584,0,0,0.0001,0.001
s_segment_43_2458,0,0.0001,0,0.8363,0,0.0696,0,0.0693,0.0005,0.001,0.0232
s_segment_43_2459,0,0.1147,0.0006,0.2661,0,0,0.0003,0.6131,0.0041,0.0001,0.001
s_segment_43_2463,0.0236,0.0085,0.0165,0.7418,0.0173,0.0899,0.087,0.0109,0.0007,0.0021,0.0017
s_segment_43_247,0.0002,0.0231,0.0002,0.4683,0.0004,0.4976,0.0002,0.0022,0.001,0.0011,0.0057
s_segment_43_2489,0.0019,0.0003,0,0.4134,0.0012,0.4573,0.0014,0.1241,0,0.0001,0.0003
s_segment_43_2493,0.0002,0.0011,0.0007,0.3176,0.0003,0.3382,0.0008,0.0018,0.0005,0.3148,0.024
s_segment_43_2503,0.0007,0,0.0001,0.3862,0.0242,0.01,0.5706,0.0008,0.0072,0.0001,0.0001
s_segment_43_2534,0.0002,0,0.0002,0.6365,0.0006,0.0007,0.3484,0.0111,0.0013,0.0001,0.0009
s_segment_43_254,0.0327,0.0867,0.0054,0.4281,0.0769,0.047,0.0653,0.0285,0.0445,0.175,0.0099
s_segment_43_2540,0.002,0,0,0.8644,0,0,0.0001,0.1335,0,0,0
s_segment_43_2546,0,0,0.1539,0.2119,0.0001,0.173,0,0.4602,0,0,0.0009
s_segment_43_260,0.0074,0.0003,0.0192,0.7202,0.0041,0.0465,0.0797,0.0008,0.0012,0.1205,0.0001
s_segment_43_2644,0.0295,0.0526,0.0149,0.5172,0.0069,0.2387,0.1133,0.0001,0.0001,0.0266,0.0001
s_segment_43_265,0.0357,0.008,0.0019,0.5633,0.0283,0.3076,0.004,0.0304,0.0029,0.0079,0.01
s_segment_43_2672,0.0002,0.0065,0.0793,0.4024,0.0154,0.2475,0.1659,0.0001,0.0082,0.004,0.0705
s_segment_43_2676,0.0322,0.0044,0.1341,0.6628,0.0065,0.0917,0.0159,0.0045,0.0368,0.0062,0.0049
s_segment_43_2693,0.2902,0.0007,0.0001,0.4652,0.0002,0.0656,0.0001,0.1585,0,0.0068,0.0126
s_segment_43_2699,0.0091,0.0023,0.039,0.5276,0.0581,0.0008,0.0752,0.1076,0.0001,0.1684,0.0118
s_segment_43_2714,0.0007,0.0016,0.0015,0.0066,0.0052,0.0004,0.5973,0.3683,0.0135,0.0047,0.0002
s_segment_43_2726,0.05,0.0032,0.0019,0.8087,0.0006,0.0024,0.0076,0.0002,0.0069,0.1184,0.0001
s_segment_43_2727,0.0216,0.0007,0.0023,0.0921,0.0232,0.0086,0.576,0.2163,0.002,0.0002,0.057
s_segment_43_2769,0.0003,0.0015,0.0415,0.5185,0.0215,0.0046,0.0011,0.4074,0.0001,0.0007,0.0028
s_segment_43_2779,0,0,0,0.1676,0.2768,0.0279,0.3117,0.2159,0,0,0.0001
s_segment_43_2804,0.0071,0.0005,0.003,0.6939,0.0189,0,0.1428,0.0971,0,0.0299,0.0068
s_segment_43_2852,0.0145,0.067,0,0.7782,0.0007,0.0163,0.1115,0.011,0.0001,0.0006,0.0001
s_segment_43_2857,0.0157,0,0.1447,0.1232,0.0006,0,0.1815,0.3104,0.0261,0.1977,0.0001
s_segment_43_286,0.0284,0.0001,0.0401,0.3368,0,0.2909,0.004,0.0785,0.0068,0.2144,0
s_segment_43_2872,0,0,0.0038,0.7339,0,0,0.231,0.0226,0.0001,0.0085,0.0001
s_segment_43_2877,0,0.0222,0.0016,0.2971,0,0.2749,0.3385,0.0087,0.0455,0.0002,0.0113
s_segment_43_2881,0.0003,0.0065,0.0001,0.0399,0.0006,0.0131,0.231,0.6778,0.0002,0.0299,0.0006
s_segment_43_2907,0.0174,0.1445,0.0166,0.6234,0.0007,0.0024,0.0822,0.038,0.066,0.008,0.0008
s_segment_43_2919,0.0074,0.0064,0.0013,0.6906,0,0.0004,0.0148,0.0501,0.0017,0.2268,0.0005
s_segment_43_2999,0.0006,0.0228,0.0608,0.4502,0.0002,0.0662,0.0253,0.2615,0.001,0.1088,0.0026
s_segment_43_3007,0,0,0.0003,0.555,0.0103,0.0366,0.0095,0.0049,0.0189,0.3644,0.0001
s_segment_43_3046,0.2182,0.0003,0.0001,0.6181,0.0021,0,0.0996,0.0589,0.0009,0.0017,0.0001
s_segment_43_3062,0.0005,0.0001,0.0002,0.5389,0,0.0695,0.0297,0,0.3568,0.0001,0.0042
s_segment_43_3093,0.1107,0.0002,0.0362,0.5571,0.0012,0.2759,0.0001,0.0025,0.0035,0.0005,0.0121
s_segment_43_3099,0.0029,0,0.0004,0.8164,0.0009,0.0009,0.0227,0.1531,0.0012,0.0012,0.0003
s_segment_43_312,0.0197,0.0761,0.002,0.2754,0.0035,0.0402,0.3911,0.0316,0.002,0.1558,0.0026
s_segment_43_3122,0.0059,0.0417,0.0445,0.6956,0.0286,0.0151,0.1577,0.0015,0.0025,0.0015,0.0054
s_segment_43_3135,0,0.0002,0.0103,0.9829,0.0002,0.0001,0.0001,0.0022,0,0,0.004
s_segment_43_318,0.0075,0,0.0468,0.3776,0,0.0001,0.2156,0.174,0.1721,0.0005,0.0058
s_segment_43_3193,0.0101,0.0018,0.0015,0.4865,0.0015,0.0002,0.1832,0.0001,0.3124,0.0018,0.0009
s_segment_43_3198,0.1007,0.0013,0.0007,0.5774,0.0029,0.0449,0.003,0.1493,0.1182,0.0003,0.0013
s_segment_43_320,0.0151,0.0032,0.0685,0.5548,0.0004,0.0011,0.2817,0.0034,0.0255,0.0022,0.0441
s_segment_43_321,0,0.0176,0.0042,0.8895,0.0001,0,0.0517,0,0.0009,0,0.036
s_segment_43_3264,0.0003,0.009,0.0002,0.5962,0.1348,0.0651,0.0165,0.1553,0.0002,0.0018,0.0206
s_segment_43_3297,0.0003,0.0087,0.0005,0.4815,0.0138,0.1541,0.0002,0.0004,0.2941,0.0336,0.0128
s_segment_43_3311,0.0103,0.1205,0.0004,0.6538,0.0139,0.0632,0.0013,0.1356,0,0.0009,0.0001
s_segment_43_3322,0.0052,0.005,0.0184,0.2384,0.0001,0.4785,0.2196,0,0.0002,0.0343,0.0003
s_segment_43_3335,0.1303,0,0.0001,0.1604,0.0024,0.3795,0.0014,0.2388,0,0.0871,0
s_segment_43_3342,0.0025,0.0427,0.0014,0.0091,0.0316,0.0063,0.2049,0.6296,0.0687,0.0023,0.0009
s_segment_43_3343,0,0.0001,0.0351,0.6459,0,0.3136,0,0.001,0.0003,0.0038,0.0002
s_segment_43_3344,0.0004,0.0001,0.0035,0.5858,0.1599,0,0.0099,0.2372,0.0026,0.0003,0.0003
s_segment_43_335,0.0012,0.0001,0,0.6255,0.0155,0.2987,0,0,0.0014,0.0004,0.0572
s_segment_43_3362,0.0001,0,0,0.6529,0.0002,0.0001,0,0.1366,0.2099,0,0.0002
s_segment_43_3377,0,0.0006,0.0855,0.3327,0.0036,0.4431,0.0001,0.0755,0.0004,0.0008,0.0577
s_segment_43_3383,0,0.2312,0.0173,0.4848,0.0014,0.0004,0.0007,0.2639,0.0001,0.0001,0.0001
s_segment_43_3410,0.0001,0.0265,0.0157,0.2362,0.0204,0.0008,0.2672,0.4318,0,0.0001,0.0012
s_segment_43_3430,0.0008,0.0004,0.0002,0.7977,0.0015,0.0357,0.0074,0.0005,0.0404,0.0522,0.0632
s_segment_43_3432,0.0001,0.0012,0,0.3577,0,0.6381,0,0.0009,0.0014,0,0.0006
s_segment_43_3449,0.0126,0.0023,0.1106,0.2682,0.0153,0.1607,0.0152,0.1996,0.1534,0.0424,0.0197
s_segment_43_3475,0.0011,0.0031,0.0024,0.0028,0.004,0.0004,0.4488,0.4334,0.101,0.0005,0.0025
s_segment_43_3488,0.0001,0.0362,0.1971,0.2098,0,0.0003,0.1583,0.3965,0.0016,0.0001,0
s_segment_43_3514,0.1049,0.0016,0.036,0.5502,0.0654,0.0033,0.0078,0.1149,0.0379,0.0092,0.0688
s_segment_43_3522,0.0106,0.036,0.0103,0.4461,0.0007,0.2635,0.2136,0.0126,0.0026,0.0016,0.0024
s_segment_43_3526,0.0001,0.0011,0,0.4008,0.0011,0.0027,0,0.2337,0.304,0.0189,0.0376
s_segment_43_3552,0.029,0.0609,0.001,0.3052,0.0002,0.3021,0.2901,0.0002,0.0072,0.0039,0.0002
s_segment_43_3570,0.0002,0.0012,0.1474,0.0195,0.0012,0.0324,0.25,0.5441,0.0027,0.0004,0.0009
s_segment_43_3577,0.0002,0.0013,0.0632,0.5529,0.0005,0.0009,0.2999,0.0045,0,0.0346,0.042
s_segment_43_3602,0.0082,0.0001,0.0319,0.3914,0.0043,0.0137,0.0059,0.4487,0.0468,0.0099,0.0391
s_segment_43_361,0.0018,0.0074,0.0039,0.4709,0.0222,0,0.4935,0,0.0002,0,0.0001
s_segment_43_3630,0.0001,0.0068,0.0352,0.8087,0.0011,0,0.0006,0.0037,0.0001,0.1437,0
s_segment_43_3653,0,0.0004,0.0005,0.6855,0.0003,0.0479,0.2625,0.0025,0.0001,0.0003,0
s_segment_43_3657,0.0014,0.0048,0.0006,0.5539,0.002,0.0001,0.2305,0.0088,0.0005,0.1038,0.0936
s_segment_43_3688,0.0004,0.0683,0.0028,0.3448,0.002,0.0001,0.0108,0.5704,0,0.0001,0.0003
s_segment_43_3711,0.0172,0.0011,0.0107,0.5785,0.005,0.0882,0.1718,0.0002,0.0114,0.0122,0.1037
s_segment_43_3718,0.0543,0.0113,0.0003,0.4093,0.1069,0.2379,0.0148,0.1635,0.0004,0.0001,0.0012
s_segment_43_3721,0.0155,0.0009,0.0005,0.0129,0.0071,0.1511,0.3059,0.5058,0,0.0001,0.0002
s_segment_43_3732,0.002,0.0093,0.0003,0.7209,0.003,0.0199,0.0009,0.2192,0.0196,0.0036,0.0013
s_segment_43_3738,0,0.0007,0.0034,0.5395,0.0096,0.0008,0.4458,0,0,0,0.0002
s_segment_43_375,0,0.0137,0.0002,0.7415,0.0007,0.2023,0.0003,0.0001,0,0.0002,0.041
s_segment_43_3791,0.0002,0.0014,0.0189,0.3942,0.124,0.0019,0.1347,0.2372,0.0001,0.0872,0.0002
s_segment_43_3798,0.002,0.0233,0.0264,0.6155,0.0194,0.0032,0.0001,0.31,0,0,0.0001
s_segment_43_3836,0,0.0002,0.2102,0.7757,0.0038,0.0051,0.0001,0.0025,0.0019,0.0002,0.0003
s_segment_43_3847,0,0.1348,0,0.3858,0.0634,0.0003,0.0956,0.1361,0.0221,0.1615,0.0004
s_segment_43_3863,0.0096,0,0.0472,0.7317,0.0259,0.0074,0.0001,0.092,0,0.0845,0.0016
s_segment_43_3892,0.0045,0,0,0.595,0.0021,0.0101,0.0112,0.2451,0.1315,0.0004,0.0001
s_segment_43_3934,0.0001,0.0047,0.0002,0.7316,0,0,0.2274,0.0047,0,0.0313,0
s_segment_43_3938,0.001,0.0077,0.0005,0.1412,0.0225,0.0002,0.513,0.3131,0.0002,0.0003,0.0003
s_segment_43_3941,0.0126,0.044,0,0.3075,0.0001,0.6239,0.0003,0.0004,0.0001,0.0038,0.0073
s_segment_43_3959,0.001,0.0142,0.0442,0.7992,0.0233,0.0286,0.0853,0.002,0.0002,0.0004,0.0016
s_segment_43_4024,0.0025,0.0003,0.0062,0.1057,0.0732,0.0015,0.2533,0.5552,0.0015,0.0001,0.0005
s_segment_43_4126,0.0044,0.0068,0.0004,0.6821,0.0002,0.2182,0.0003,0.0002,0.0156,0.0006,0.0712
s_segment_43_4141,0.001,0.0135,0.0001,0.7804,0.0003,0.0041,0.1076,0.0453,0.0328,0.0145,0.0004
s_segment_43_4153,0.0005,0.0001,0.0097,0.0714,0.002,0.022,0.4329,0.4206,0.0397,0.0011,0
s_segment_43_4171,0.0082,0.0003,0.0003,0.6011,0,0.2063,0.0007,0.1768,0,0.0054,0.0009
s_segment_43_4180,0.0002,0.0073,0,0.5087,0.0002,0.4253,0.02,0.031,0.0045,0.0002,0.0026
s_segment_43_4196,0.0004,0.0219,0.0005,0.6098,0.0873,0,0,0.154,0.0011,0.1241,0.0009
